관측소, 오존농도, 미세먼지(㎍/m³), 초미세먼지(㎍/m³)
강남구, 0.028, 41, 25
강남대로, 0.021, 48, 22
강동구, 0.025, 45, 26
강변북로, 0.020, 52, 22
강북구, 0.028, 46, 25
강서구, 0.028, 49, 24
공항대로, 0.019, 53, 25
관악구, 0.025, 45, 23
관악산, 0.034, 41, 20
광진구, 0.023, 46, 24
구로구, 0.034, 53, 27
궁동, 0.026, 48, 26
금천구, 0.024, 43, 26
남산, 0.034, 39, 20
노원구, 0.024, 43, 26
도봉구, 0.032, 41, 23
도산대로, 0.025, 45, 21
동대문구, 0.027, 39, 20
동작구, 0.023, 51, 28
동작대로, 0.022, 51, 27
마포구, 0.023, 42, 25
마포아트센터, 0.030, 42, 23
북한산, 0.037, 40, 18
서대문구, 0.030, 49, 26
서울숲, 0.021, 42, 21
